electrode,voltage_V
3,-0.27813384664168733
4,-0.02077143890573018
5,-0.08902501110183388
6,-0.033369923868935406
7,-0.1553933427136938
8,-0.14331380712985786
9,-0.1057134184987824
10,-0.07717667537406162
11,-0.05641556505574605
12,-0.017907804144252425
15,-0.01792691589154231
16,-0.27818031012116745
17,-0.020981524620774867
18,-0.08885932644563663
19,-0.03354154185110404
21,-0.15557201065541587
22,-0.1432523142366423
23,-0.10601335235781573
24,-0.0772221417613698
25,-0.05676215727121185
